,Date,Open,High,Low,Close,Adj Close,Volume
86,2020-05-06,123.239998,124.050003,122.410004,123.169998,115.405617,3864600
87,2020-05-07,122.980003,123.260002,120.849998,121.230003,115.111259,4412600
88,2020-05-08,122.669998,123.230003,121.059998,122.989998,116.782425,5002500
89,2020-05-11,121.809998,123.449997,120.669998,122.589996,116.402611,3535300
90,2020-05-12,123.010002,124.32,120.260002,120.260002,114.190208,4784500
91,2020-05-13,119.949997,119.989998,114.849998,115.730003,109.888863,5882800
92,2020-05-14,114.57,117.089996,111.809998,116.949997,111.047279,5259400
93,2020-05-15,115.93,117.389999,115.25,116.980003,111.075768,4786300
94,2020-05-18,119.879997,122.360001,119.75,121.559998,115.424606,4205700
95,2020-05-19,121.190002,122.169998,120.139999,120.290001,114.218712,3241100
96,2020-05-20,120.93,122.470001,120.599998,121.379997,115.253693,3840700
97,2020-05-21,120.989998,121.720001,118.970001,119.120003,113.107758,4000900
98,2020-05-22,119.370003,119.470001,117.589996,118.389999,112.414597,4180800
99,2020-05-26,121.300003,122.620003,121.010002,121.760002,115.61451,5469300
100,2020-05-27,123.940002,125.830002,123.470001,125.540001,119.203728,5727500
101,2020-05-28,126.870003,126.970001,124.220001,124.529999,118.244705,3915300
102,2020-05-29,123.669998,125.129997,122.239998,124.900002,118.596031,7929900
103,2020-06-01,124.639999,125.75,124.029999,124.889999,118.586533,2871700
104,2020-06-02,125.669998,126.0,124.660004,126.0,119.640511,2978100
105,2020-06-03,127.150002,129.600006,127.0,129.050003,122.536575,3917700
106,2020-06-04,127.779999,128.949997,127.019997,128.889999,122.384644,3864800
107,2020-06-05,133.889999,134.229996,131.75,132.059998,125.394646,5892700
108,2020-06-08,132.270004,135.880005,132.270004,135.75,128.898422,5370500
109,2020-06-09,133.520004,133.600006,131.020004,131.869995,125.214218,5393600
110,2020-06-10,132.149994,132.229996,129.800003,129.869995,123.315178,4734800
111,2020-06-11,126.029999,126.099998,117.839996,118.010002,112.053787,11763600
112,2020-06-12,121.25,123.120003,119.279999,121.910004,115.756943,6220300
113,2020-06-15,119.190002,122.370003,118.290001,121.650002,115.510063,5149100
114,2020-06-16,125.0,127.5,123.160004,125.150002,118.833405,5606700
115,2020-06-17,125.830002,126.25,123.400002,124.150002,117.883888,3156800
116,2020-06-18,123.0,124.400002,122.330002,124.160004,117.893379,2865400
117,2020-06-19,126.169998,126.82,122.25,122.470001,116.288673,8099000
118,2020-06-22,122.120003,122.5,120.529999,121.07,114.959335,4773500
119,2020-06-23,122.010002,122.900002,119.230003,119.410004,113.383125,6632600
120,2020-06-24,118.32,118.32,115.879997,116.419998,110.544029,6751000
121,2020-06-25,116.760002,119.209999,116.099998,119.029999,113.022293,6130600
122,2020-06-26,118.260002,118.989998,116.260002,117.190002,111.275169,10750100
123,2020-06-29,117.980003,119.779999,117.370003,119.75,113.705963,4159500
124,2020-06-30,119.190002,121.199997,119.0,120.769997,114.674469,3919500
125,2020-07-01,120.269997,121.230003,118.370003,118.540001,112.557037,4655800
126,2020-07-02,119.690002,121.419998,119.260002,119.699997,113.658485,3747000
127,2020-07-06,121.25,121.849998,119.459999,120.190002,114.123756,4045400
128,2020-07-07,119.0,119.510002,117.330002,117.580002,111.645485,4278100
129,2020-07-08,118.059998,118.639999,116.480003,117.709999,111.768921,5192800
130,2020-07-09,118.0,118.0,115.199997,115.709999,109.869873,4763000
131,2020-07-10,115.5,118.57,115.290001,118.349998,112.376617,4285700
132,2020-07-13,119.779999,120.989998,118.660004,119.199997,113.183716,4650700
133,2020-07-14,118.620003,120.889999,117.919998,120.599998,114.513054,4534400
134,2020-07-15,122.400002,123.959999,122.150002,123.0,116.791931,4473400
135,2020-07-16,122.68,124.480003,122.160004,124.010002,117.750954,4330900
136,2020-07-17,124.389999,125.629997,123.199997,125.110001,118.795425,3984600
137,2020-07-20,126.07,127.07,125.139999,126.370003,119.991844,9927700
138,2020-07-21,131.160004,132.169998,125.800003,126.059998,119.697472,15356600
139,2020-07-22,125.900002,129.470001,125.800003,128.669998,122.175751,8195400
140,2020-07-23,129.100006,129.369995,127.150002,127.330002,120.903374,4220100
141,2020-07-24,126.480003,127.650002,125.5,125.790001,119.441109,3531100
142,2020-07-27,124.860001,126.32,124.709999,126.209999,119.839905,3733400
143,2020-07-28,125.82,126.339996,124.150002,124.470001,118.187729,4178200
144,2020-07-29,124.559998,125.989998,124.07,125.32,118.994835,2832800
145,2020-07-30,123.709999,123.900002,121.639999,122.900002,116.696983,3988100
146,2020-07-31,122.709999,122.989998,121.089996,122.940002,116.734955,5277100
147,2020-08-03,123.5,124.410004,122.150002,124.309998,118.035805,3526100
148,2020-08-04,123.82,125.860001,123.82,125.839996,119.488579,3466100
149,2020-08-05,126.730003,126.75,124.610001,125.449997,119.118263,3619600
150,2020-08-06,125.0,126.260002,125.0,126.120003,119.754456,3417100
151,2020-08-07,123.5,125.07,123.209999,124.959999,120.206573,3651000
152,2020-08-10,125.419998,127.239998,125.18,127.110001,122.27478,3968300
153,2020-08-11,128.759995,130.470001,126.610001,126.75,121.928482,5001200
154,2020-08-12,127.610001,127.790001,125.879997,126.699997,121.880379,3529700
155,2020-08-13,125.959999,126.389999,124.769997,125.029999,120.273911,3171300
156,2020-08-14,124.199997,125.559998,123.910004,125.269997,120.504784,2963400
157,2020-08-17,125.25,125.589996,124.410004,124.440002,119.706352,3360100
158,2020-08-18,125.0,125.5,124.239998,124.919998,120.168091,2882400
159,2020-08-19,124.830002,125.5,123.5,123.839996,119.129181,3743900
160,2020-08-20,123.199997,124.040001,122.809998,123.150002,118.465424,2561200
161,2020-08-21,123.010002,123.480003,122.309998,123.160004,118.475044,3385100
162,2020-08-24,123.790001,126.059998,123.360001,125.68,120.899185,4070800
163,2020-08-25,126.0,126.82,124.489998,124.639999,119.89875,2977700
164,2020-08-26,124.949997,125.120003,123.949997,124.169998,119.446617,3388300
165,2020-08-27,124.599998,125.099998,123.980003,124.650002,119.908363,3422700
166,2020-08-28,124.959999,125.300003,124.220001,125.07,120.312386,3099600
167,2020-08-31,125.25,125.25,123.029999,123.309998,118.619331,4827900
168,2020-09-01,122.849998,123.949997,122.150002,123.400002,118.705917,3155300
169,2020-09-02,123.720001,128.699997,123.580002,128.179993,123.304085,6592400
170,2020-09-03,128.190002,129.949997,123.650002,124.449997,119.715973,5716800
171,2020-09-04,124.349998,125.349998,121.239998,122.300003,117.647766,6018200
172,2020-09-08,122.160004,122.870003,120.709999,121.209999,116.59922,5210300
173,2020-09-09,122.129997,123.699997,121.290001,122.260002,117.609283,3770700
174,2020-09-10,122.529999,123.580002,120.239998,120.559998,115.973938,3978400
175,2020-09-11,121.389999,122.699997,120.730003,121.459999,116.839706,3548100
176,2020-09-14,122.360001,123.379997,121.760002,122.089996,117.44574,3641500
177,2020-09-15,122.82,123.400002,122.239998,122.440002,117.782433,2915200
178,2020-09-16,122.709999,125.82,122.709999,124.220001,119.494728,3788400
179,2020-09-17,122.620003,125.550003,121.970001,124.919998,120.168091,3171300
180,2020-09-18,124.260002,124.919998,122.650002,122.760002,118.090263,5391600
181,2020-09-21,120.480003,120.699997,118.580002,120.25,115.675743,5311400
182,2020-09-22,120.330002,121.449997,119.529999,120.510002,115.92585,2957800
183,2020-09-23,120.800003,121.589996,118.43,118.830002,114.309753,3939400
184,2020-09-24,118.099998,119.519997,116.480003,118.089996,113.5979,3546200
185,2020-09-25,117.599998,119.410004,116.940002,118.949997,114.425194,2953700
186,2020-09-28,120.57,122.330002,120.410004,121.730003,117.099442,3509200
187,2020-09-29,121.410004,122.190002,120.209999,120.940002,116.3395,2106600
188,2020-09-30,121.379997,122.910004,120.800003,121.669998,117.041725,3261100
189,2020-10-01,122.360001,123.300003,120.360001,121.089996,116.483788,3211700
190,2020-10-02,119.040001,121.75,118.82,120.57,115.983566,2925200
191,2020-10-05,121.839996,122.75,121.050003,122.010002,117.36879,3050500
192,2020-10-06,122.580002,124.830002,121.589996,121.970001,117.330315,3872300
193,2020-10-07,122.669998,124.389999,122.32,124.07,119.350426,2815400
194,2020-10-08,130.860001,135.5,129.770004,131.490005,126.488182,25288900
