,Date,Open,High,Low,Close,Adj Close,Volume
61,2020-03-31,7.87,8.18,7.82,7.94,7.901929,121149900
62,2020-04-01,7.52,7.55,7.0,7.04,7.006245,99556900
63,2020-04-02,7.02,7.39,6.77,6.9,6.866916,97498400
64,2020-04-03,7.03,7.05,6.58,6.73,6.697731,97803300
65,2020-04-06,7.07,7.3,6.94,7.23,7.195333,98048600
66,2020-04-07,7.69,7.75,7.0,7.03,6.996293,96087800
67,2020-04-08,7.18,7.38,7.06,7.3,7.264998,92650700
68,2020-04-09,7.45,7.54,7.09,7.14,7.105764,128097600
69,2020-04-13,7.13,7.13,6.76,7.02,6.98634,94074500
70,2020-04-14,7.1,7.24,6.84,6.93,6.896772,107067200
71,2020-04-15,6.73,6.73,6.35,6.5,6.468834,138220800
72,2020-04-16,6.48,6.54,6.2,6.24,6.21008,165678200
73,2020-04-17,6.47,6.94,6.34,6.84,6.807204,165907800
74,2020-04-20,6.61,6.75,6.46,6.51,6.478786,99691600
75,2020-04-21,6.39,6.58,6.3,6.48,6.44893,77453100
76,2020-04-22,6.59,6.64,6.4,6.43,6.399169,76750200
77,2020-04-23,6.46,6.74,6.43,6.52,6.488738,82796100
78,2020-04-24,6.59,6.6,6.25,6.26,6.229985,155616400
79,2020-04-27,6.38,6.47,6.33,6.43,6.399169,107038200
80,2020-04-28,6.57,6.92,6.57,6.8,6.767395,140668600
81,2020-04-29,6.68,6.9,6.52,6.58,6.54845,225228000
82,2020-04-30,6.56,6.82,6.41,6.8,6.767395,175711100
83,2020-05-01,6.67,6.74,6.41,6.5,6.468834,120376500
84,2020-05-04,6.3,6.31,6.15,6.21,6.180224,136852400
85,2020-05-05,6.28,6.46,6.16,6.2,6.170272,116998500
86,2020-05-06,6.2,6.25,5.97,5.98,5.951327,117253600
87,2020-05-07,6.06,6.26,6.06,6.11,6.080704,100663300
88,2020-05-08,6.21,6.33,6.16,6.29,6.259841,93637300
89,2020-05-11,6.24,6.25,6.13,6.19,6.16032,71843000
90,2020-05-12,6.22,6.28,6.0,6.0,5.971231,95652200
91,2020-05-13,6.0,6.02,5.48,5.79,5.762238,235745300
92,2020-05-14,5.62,5.9,5.48,5.7,5.672669,140205400
93,2020-05-15,5.61,5.66,5.48,5.49,5.463676,128486200
94,2020-05-18,5.74,6.49,5.74,6.27,6.239936,254558400
95,2020-05-19,6.29,6.37,6.09,6.21,6.180224,108485100
96,2020-05-20,6.33,6.47,6.29,6.42,6.389217,91287400
97,2020-05-21,6.42,6.55,6.33,6.48,6.44893,98821100
